start_scan,end_scan,year,julian_day,hour,minute,state,min,mean,std,max,timestamp
20193391500198,20193391509517,2019,339,15,00,ACRE,249.82879638671875,294.7781066894531,2.776763916015625,299.48309326171875,1575569529
20193391500198,20193391509517,2019,339,15,00,ALAGOAS,264.0859680175781,290.59661865234375,3.8741345405578613,293.27630615234375,1575569529
20193391500198,20193391509517,2019,339,15,00,AMAZONAS,210.49868774414062,290.3197021484375,7.641618728637695,304.4608154296875,1575569529
20193391500198,20193391509517,2019,339,15,00,AMAPA,279.2034912109375,293.3154296875,2.602182388305664,308.88543701171875,1575569529
20193391500198,20193391509517,2019,339,15,00,BAHIA,216.95127868652344,275.59063720703125,17.092052459716797,298.31549072265625,1575569529
20193391500198,20193391509517,2019,339,15,00,CEARA,205.33660888671875,260.56793212890625,31.468502044677734,292.9690246582031,1575569529
20193391500198,20193391509517,2019,339,15,00,DISTRITO FEDERAL,225.55474853515625,271.6799621582031,24.562602996826172,293.8908386230469,1575569529
20193391500198,20193391509517,2019,339,15,00,ESPIRITO SANTO,230.65536499023438,284.5975341796875,6.8045735359191895,291.6170654296875,1575569529
20193391500198,20193391509517,2019,339,15,00,GOIAS,225.55474853515625,288.6767883300781,9.860917091369629,295.30426025390625,1575569529
20193391500198,20193391509517,2019,339,15,00,MARANHAO,203.92318725585938,271.4421691894531,20.464458465576172,294.99700927734375,1575569529
20193391500198,20193391509517,2019,339,15,00,MINAS GERAIS,224.26422119140625,285.43426513671875,11.652434349060059,294.8126525878906,1575569529
20193391500198,20193391509517,2019,339,15,00,MATO GROSSO DO SUL,270.04693603515625,291.34619140625,3.4310545921325684,295.1813659667969,1575569529
20193391500198,20193391509517,2019,339,15,00,MATO GROSSO,216.95127868652344,288.8408203125,10.536161422729492,296.0417175292969,1575569529
20193391500198,20193391509517,2019,339,15,00,PARA,206.31985473632812,286.9070739746094,13.883291244506836,297.88531494140625,1575569529
20193391500198,20193391509517,2019,339,15,00,PARAIBA,246.6947021484375,290.9209899902344,4.479934215545654,292.9690246582031,1575569529
20193391500198,20193391509517,2019,339,15,00,PERNAMBUCO,205.33660888671875,273.8077087402344,27.805274963378906,294.3210144042969,1575569529
20193391500198,20193391509517,2019,339,15,00,PIAUI,203.92318725585938,271.1302185058594,21.353395462036133,293.7679443359375,1575569529
20193391500198,20193391509517,2019,339,15,00,PARANA,280.00238037109375,290.955810546875,2.9520764350891113,294.13665771484375,1575569529
20193391500198,20193391509517,2019,339,15,00,RIO DE JANEIRO,280.6169128417969,287.84759521484375,2.974985361099243,292.10870361328125,1575569529
20193391500198,20193391509517,2019,339,15,00,RIO GRANDE DO NORTE,216.5211181640625,270.3430480957031,24.006088256835938,292.9690246582031,1575569529
20193391500198,20193391509517,2019,339,15,00,RONDONIA,239.074462890625,292.93212890625,5.199699401855469,296.90203857421875,1575569529
20193391500198,20193391509517,2019,339,15,00,RORAIMA,260.8289489746094,290.4747619628906,5.215229511260986,304.4608154296875,1575569529
20193391500198,20193391509517,2019,339,15,00,RIO GRANDE DO SUL,252.22549438476562,290.0330810546875,2.733081102371216,293.5221252441406,1575569529
20193391500198,20193391509517,2019,339,15,00,SANTA CATARINA,280.4940185546875,290.1384582519531,2.8410768508911133,293.8908386230469,1575569529
20193391500198,20193391509517,2019,339,15,00,SERGIPE,263.1641845703125,287.308837890625,6.696098804473877,292.6617736816406,1575569529
20193391500198,20193391509517,2019,339,15,00,SAO PAULO,279.69512939453125,290.48370361328125,3.0445170402526855,294.56683349609375,1575569529
20193391500198,20193391509517,2019,339,15,00,TOCANTINS,212.40374755859375,268.7351379394531,18.594200134277344,293.70648193359375,1575569529
